Commodity,Unit,Min Price,Max Price,Avg Price
गोलभेडा ठूलो(भारतीय),केजी,रू ९०.००,रू १००.००,रू ९५.००
गोलभेडा सानो(लोकल),के.जी.,रू ७०.००,रू ९०.००,रू ८१.६७
गोलभेडा सानो(टनेल),के जी,रू ७५.००,रू ११०.००,रू ९६.००
गोलभेडा सानो(भारतीय),के जी,रू ६०.००,रू ७०.००,रू ६५.००
आलु रातो,के.जी.,रू ८०.००,रू ८५.००,रू ८२.६७
आलु रातो(भारतीय),के जी,रू ६०.००,रू ६२.००,रू ६१.००
आलु सेतो,के.जी.,रू ६३.००,रू ६५.००,रू ६४.००
प्याज सुकेको (भारतीय),के.जी.,रू १०३.००,रू १०५.००,रू १०४.००
गाजर(लोकल),के.जी.,रू ११०.००,रू १२०.००,रू ११५.००
गाजर(तराई),केजी,रू ९०.००,रू १००.००,रू ९५.००
बन्दा(लोकल),के.जी.,रू ३५.००,रू ४०.००,रू ३७.६७
काउली स्थानिय,के.जी.,रू १२०.००,रू १३०.००,रू १२५.००
मूला रातो,के.जी.,रू ३५.००,रू ४०.००,रू ३७.६७
मूला सेतो(लोकल),के.जी.,रू २०.००,रू ३०.००,रू २५.००
सेतो मूला(हाइब्रीड),केजी,रू ३०.००,रू ४०.००,रू ३५.००
भन्टा लाम्चो,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
भन्टा डल्लो,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
बोडी(तने),के.जी.,रू १००.००,रू ११०.००,रू १०५.००
मकै बोडी,केजी,रू ६०.००,रू ७०.००,रू ६५.००
मटरकोशा,के.जी.,रू १६०.००,रू १८०.००,रू १७०.००
घिउ सिमी(लोकल),के.जी.,रू ५०.००,रू ७०.००,रू ६०.००
घिउ सिमी(हाइब्रीड),केजी,रू ५०.००,रू ७०.००,रू ६०.००
घिउ सिमी(राजमा),केजी,रू १४०.००,रू १५०.००,रू १४५.००
टाटे सिमी,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
भटमासकोशा,के.जी.,रू ९०.००,रू १००.००,रू ९५.००
तितो करेला,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
लौका,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
परवर(लोकल),के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
परवर(तराई),केजी,रू ६०.००,रू ७०.००,रू ६५.००
चिचिण्डो,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
घिरौला,के.जी.,रू ५५.००,रू ६०.००,रू ५७.६७
फर्सी पाकेको,के.जी.,रू ३५.००,रू ४०.००,रू ३७.६७
फर्सी हरियो(लाम्चो),के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
हरियो फर्सी(डल्लो),केजी,रू ४०.००,रू ५०.००,रू ४५.००
सलगम,के.जी.,रू ९०.००,रू १००.००,रू ९५.००
भिण्डी,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००
सखरखण्ड,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
बरेला,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
पिंडालू,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
स्कूस,के.जी.,रू १५.००,रू २०.००,रू १७.६७
रायो साग,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
पालूगो साग,के.जी.,रू १००.००,रू १५०.००,रू १२६.६७
चमसूरको साग,के.जी.,रू १२०.००,रू १४०.००,रू १३०.००
तोरीको साग,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
मेथीको साग,के.जी.,रू १२०.००,रू १४०.००,रू १३०.००
प्याज हरियो,के.जी.,रू ९०.००,रू १००.००,रू ९५.००
च्याउ(कन्य),के.जी.,रू १२०.००,रू १५०.००,रू १३३.३३
च्याउ(डल्ले),के जी,रू ४००.००,रू ४५०.००,रू ४२६.६७
कुरीलो,के.जी.,रू ६००.००,रू ८००.००,रू ७००.००
चुकुन्दर,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००
रातो बन्दा,के.जी.,रू ९०.००,रू १००.००,रू ९५.००
जिरीको साग,के.जी.,रू १४०.००,रू १५०.००,रू १४५.००
सेलरी,के.जी.,रू ५००.००,रू ६००.००,रू ५५०.००
पार्सले,के.जी.,"रू २,०००.००","रू २,५००.००","रू २,२६६.६७"
पुदीना,के.जी.,रू ५००.००,रू ६००.००,रू ५५०.००
गान्टे मूला,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००
इमली,के.जी.,रू १४०.००,रू १६०.००,रू १५०.००
तामा,के.जी.,रू ९०.००,रू १००.००,रू ९५.००
तोफु,के.जी.,रू ११०.००,रू १२०.००,रू ११५.००
गुन्दुक,के.जी.,रू २५०.००,रू ३००.००,रू २७६.६७
स्याउ(झोले),के.जी.,रू २४०.००,रू २६०.००,रू २५०.००
स्याउ(फूजी),के जी,रू २८०.००,रू ३००.००,रू २९०.००
केरा,दर्जन,रू १४०.००,रू १५०.००,रू १४५.००
कागती,के.जी.,रू १५०.००,रू १७०.००,रू १६०.००
अनार,के.जी.,रू ४५०.००,रू ४८०.००,रू ४६३.३३
अंगुर(कालो),केजी,रू ३८०.००,रू ४००.००,रू ३९०.००
सुन्तला(नेपाली),के.जी.,रू ९०.००,रू १००.००,रू ९५.००
सुन्तला(भारतीय),केजी,रू १००.००,रू १२०.००,रू ११०.००
तरबुजा(हरियो),के.जी.,रू ८०.००,रू १००.००,रू ९०.००
मौसम,के.जी.,रू १५०.००,रू १६०.००,रू १५५.००
जुनार,के.जी.,रू ३००.००,रू ३५०.००,रू ३२६.६७
भुई कटहर,प्रति गोटा,रू १८०.००,रू २००.००,रू १९०.००
काक्रो(लोकल),के.जी.,रू ९०.००,रू १२०.००,रू १०५.००
काक्रो(हाइब्रीड),के जी,रू ५०.००,रू ६०.००,रू ५५.००
निबुवा,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००
नासपाती(चाइनिज),केजी,रू २३०.००,रू २५०.००,रू २४०.००
मेवा(नेपाली),के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
मेवा(भारतीय),केजी,रू १००.००,रू १२०.००,रू ११०.००
अम्बा,के.जी.,रू १५०.००,रू १८०.००,रू १६३.३३
लप्सी,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००
किवि,केजी,रू २००.००,रू २५०.००,रू २२६.६७
शरीफा,के‍.जी,रू १५०.००,रू २००.००,रू १७६.६७
आभोकाडो,के.जी,रू २००.००,रू २८०.००,रू २५०.००
अमला,के.जी,रू ५५.००,रू ६०.००,रू ५६.६७
अदुवा,के.जी.,रू २००.००,रू २१०.००,रू २०५.००
खु्र्सानी सुकेको,के.जी.,रू ४००.००,रू ४३०.००,रू ४१६.६७
खु्र्सानी हरियो,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००
खुर्सानी हरियो(बुलेट),के जी,रू १३०.००,रू १४०.००,रू १३५.००
खुर्सानी हरियो(अकबरे),के जी,रू २००.००,रू २५०.००,रू २२६.६७
भेडे खु्र्सानी,के.जी.,रू १४०.००,रू १६०.००,रू १५०.००
लसुन हरियो,के.जी.,रू १५०.००,रू २००.००,रू १७६.६७
हरियो धनिया,के.जी.,रू ५०.००,रू १००.००,रू ७६.६७
लसुन सुकेको चाइनिज,के.जी.,रू २८०.००,रू ३००.००,रू २९०.००
लसुन सुकेको नेपाली,के.जी.,रू ३००.००,रू ३२०.००,रू ३१०.००
छ्यापी सुकेको,के.जी.,रू १४०.००,रू १६०.००,रू १५०.००
छ्यापी हरियो,के.जी.,रू ३००.००,रू ३५०.००,रू ३२६.६७
ताजा माछा(रहु),के जी,रू ३४५.००,रू ३६०.००,रू ३५१.६७
ताजा माछा(बचुवा),के जी,रू २५०.००,रू २८०.००,रू २६३.३३
ताजा माछा(छडी),के जी,रू २४०.००,रू २८०.००,रू २६०.००
रुख टमाटर,केजी,रू १५०.००,रू १८०.००,रू १६६.६७
राजा च्याउ,के.जी.,रू २८०.००,रू ३००.००,रू २९०.००
